"user_id","city","country","lat","long"
510335,"Peabody","USA",42.53,-70.97
89568,"Reno","USA",39.54,-119.82
434134,"Rialto","USA",34.11,-117.39
289769,"Carson City","USA",39.15,-119.74
939586,"Chicago","USA",41.84,-87.68
229234,"New York","USA",40.67,-73.94
339138,"Durham","USA",35.98,-78.91
270353,"New York","USA",40.67,-73.94
166748,"Burke","USA",38.78,-77.27
167700,"New York","USA",40.67,-73.94
198701,"Oklahoma City","USA",35.47,-97.51
636500,"Charlotte","USA",35.2,-80.83
272473,"Chicago","USA",41.84,-87.68
764610,"Chesapeake","USA",36.68,-76.31
593895,"Brentwood","USA",37.93,-121.71
765240,"Seattle","USA",47.62,-122.35
405516,"Oakland","USA",37.77,-122.22
668182,"Stratford","USA",41.2,-73.13
776443,"Topeka","USA",39.04,-95.69
805853,"Fort Lauderdale","USA",26.14,-80.14
757158,"Newport News","USA",37.08,-76.51
277651,"New York","USA",40.67,-73.94
3997,"New York","USA",40.67,-73.94
551242,"Kansas City","USA",39.12,-94.73
971006,"Amarillo","USA",35.2,-101.82
266938,"Lawton","USA",34.6,-98.42
705802,"Houston","USA",29.77,-95.39
587419,"Houston","USA",29.77,-95.39
300461,"Casas Adobes","USA",32.32,-110.99
848846,"Bridgeport","USA",41.19,-73.2
548203,"Birmingham","USA",33.53,-86.8
509752,"Memphis","USA",35.11,-90.01
95726,"Chicago","USA",41.84,-87.68
72875,"Quincy","USA",39.93,-91.39
250385,"Los Angeles","USA",34.11,-118.41
731565,"Federal Way","USA",47.31,-122.34
72222,"Rancho Cucamonga","USA",34.12,-117.57
783353,"Fontana","USA",34.1,-117.46
457364,"Cuyahoga Falls","USA",41.17,-81.52
199926,"Gilbert","USA",33.33,-111.76
584236,"Redford","USA",42.39,-83.29
665916,"Shreveport","USA",32.47,-93.8
749104,"Indianapolis","USA",39.78,-86.15
367450,"Austin","USA",30.31,-97.75
858637,"Los Angeles","USA",34.11,-118.41
240700,"Oklahoma City","USA",35.47,-97.51
789940,"Hesperia","USA",34.42,-117.3
492976,"Meriden","USA",41.54,-72.8
675764,"New York","USA",40.67,-73.94
306411,"New York","USA",40.67,-73.94
121703,"Toms River","USA",39.94,-74.17
138408,"Stratford","USA",41.2,-73.13
403810,"Chicopee","USA",42.18,-72.57
545631,"New York","USA",40.67,-73.94
272233,"Chicago","USA",41.84,-87.68
966878,"Spring Hill","USA",28.48,-82.56
555109,"Dearborn","USA",42.31,-83.21
296130,"Jacksonville","USA",30.33,-81.66
737019,"Avondale","USA",33.42,-112.32
125449,"New York","USA",40.67,-73.94
445517,"La Habra","USA",33.93,-117.95
437384,"Toledo","USA",41.66,-83.58
32915,"New York","USA",40.67,-73.94
303935,"Temple","USA",31.1,-97.36
720035,"Colton","USA",34.06,-117.32
16698,"San Antonio","USA",29.46,-98.51
452809,"Eau Claire","USA",44.82,-91.49
650068,"Union City","USA",37.6,-122.02
443784,"Redondo Beach","USA",33.86,-118.38
241511,"Mesa","USA",33.42,-111.74
244591,"Toledo","USA",41.66,-83.58
214168,"Overland Park","USA",38.91,-94.68
